"PRODUCT_ID","NAME","REPLENISHMENT_DAYS","IS_DEFINED"
"100009428","Capricare 2, mleko w proszku następne oparte na mleku kozim od 6 miesiąca życia, 400 g",6,"yes"
"100038800","Bebilon Profutura Duo Biotik 2, mleko następne, po 6 miesiącu, 800 g",14,"yes"
"100038799","Bebilon Profutura Duo Biotik 1, mleko początkowe, od urodzenia, 800 g",7,"yes"
"100010612","Capricare 3, mleko następne powyżej 12. miesiąca życia, 400 g",15,"yes"
"100050004","Capricare 3 Junior, mleko powyżej 12. miesiąca życia oparte na mleku kozim, 800 g",13,"yes"
"100050003","Capricare 2, mleko następne powyżej 6. miesiąca życia oparte na mleku kozim, 800 g",13,"yes"
"100018869","BioMarine 1140, 60 kapsułek",20,"yes"
"100011623","Bebilon 2 Pronutra Advance, mleko następne po 6. miesiącu 1100 g",18,"yes"
"100041180","Bebilon Prosyneo HA 3 mleko modyfikowane po 1. roku, 400 g",4,"yes"
"100011159","Emolium Dermocare, emulsja do kąpieli, 400 ml + 400 ml",NA,"no"
"100002112","FertilMan plus, suplement diety, 120 tabletek",30,"yes"
"100036516","Equazen, suplement diety, 360 + 40 kapsułek gratis",66,"yes"
"100005743","Vichy Traitement Anti-Traspirant 48h Antyperspirant w kulce przeciw intensywnemu poceniu, 50 ml",NA,"no"
"100000603","Bebilon Comfort 1, mleko początkowe dla niemowląt od urodzenia, 400 g",4,"yes"
"100038804","Bebilon Profutura Cesar Biotic 2, mleko następne, po 6 miesiącu, 800 g",14,"yes"
"100034685","Thealoz Duo, krople do oczu, 10 ml",90,"yes"
"100033819","WaterWipes BIO, chusteczki nawilżane wodne, 60 sztuk",NA,"no"
"100005746","Vichy Dercos Aminexil Clinical 5 Kuracja przeciw wypadaniu włosów dla kobiet, 21 ampułek",21,"yes"
"100002648","Imunoglukan, suplement diety dla dzieci powyżej 3. roku życia, 120 ml",24,"yes"
"100018819","BioMarine Medical Immuno Neuro lipids, olej, 200 ml",NA,"no"
"100019699","Bebiko Pro+ 2, proszek, 700 g",7,"yes"
"100038802","Bebilon Profutura Duo Biotik 4, mleko modyfikowane po 2. roku życia, 800 g",21,"yes"
"100017344","Colostrum Junior Genactiv, zawiesina doustna, suplement diety, 150 ml",15,"yes"
"100011509","Kolagen 10000 mg Pharmovit, suplement diety, 500 ml",20,"yes"
